,question,explanation,answer,index
907,"A planet of mass m is in a circular orbit of radius r about the Sun of mass M, as illustrated in Fig. 1.1.  (DIAGRAM)  The magnitude of the angular velocity and the period of revolution of the planet about the Sun are ?? and T respectively.State  the relation between ?? and T. ....................................................................[2]",  ?? = 2? /T,?? ?? T = 2?  B1 [1],"(291, 'a.ii')"
908,"A planet of mass m is in a circular orbit of radius r about the Sun of mass M, as illustrated in Fig. 1.1.  (DIAGRAM)  The magnitude of the angular velocity and the period of revolution of the planet about the Sun are ?? and T respectively.Show that, for a planet in a circular orbit of radius r, the period T of the orbit is given by the expression ?? ?? ?? ?? ?? ?? ?? T2 = cr3 where c is a constant. Explain your working. [4]  ","Centripetal force is provided by the gravitational force  So GMm/r2 = mr??2  ??? GM/r2 = r(2? /T)2  ??? T2GM = 4? 2r3  ??? T2 = (4? 2/GM)r3  ??? T2 = cr3, which c = 4? 2/GM",centripetal force is provided by the gravitational force either?? mr(2? /T)2??= GMm/r 2?? or?? mr??2 = GMm/r2 r3 ?? 4? 2 = GM ?? T2 GM/4? 2??is a constant (c) T2 = cr3 B1 M1 A1 A1 A0 [4],"(291, 'b')"
909,"A planet of mass m is in a circular orbit of radius r about the Sun of mass M, as illustrated in Fig. 1.1.  (DIAGRAM)  The magnitude of the angular velocity and the period of revolution of the planet about the Sun are ?? and T respectively.Data for the planets Venus and Neptune are given in Fig. 1.2.  (DIAGRAM)  Assume that the orbits of both planets are circular.   Use the expression in (b) to calculate the value of T for Neptune.  T = ....................................... years [2]",  Use T2 = cr3  ??? Tv2/rv3 = TN2/rN3  ??? TN2 = (rN/rv)3Tv2 = (45/1.08)3(0.615)2  ??? TN = 165.4  T = 165 years,either?? T2 = (45/1.08)3 ?? 0.6152 or T2??= 0.30 ?? 453?? T = 165 years C1 A1 [2],"(291, 'c.i')"
910,"A planet of mass m is in a circular orbit of radius r about the Sun of mass M, as illustrated in Fig. 1.1.  (DIAGRAM)  The magnitude of the angular velocity and the period of revolution of the planet about the Sun are ?? and T respectively.Data for the planets Venus and Neptune are given in Fig. 1.2.  (DIAGRAM)  Assume that the orbits of both planets are circular.   Determine the linear speed of Venus in its orbit.  speed = ..................................... km s? ?1 [2]",   (DIAGRAM) ,speed = (2?  ?? 1.08 ?? 108) / (0.615 ?? 365 ?? 24 ?? 3600) ?? ?? ?? ?? ?? = 35 km s? ?1 C1 A1 [2],"(291, 'c.ii')"
911,Newton's law of gravitation applies to point masses.  State Newton's law of gravitation. ..............................................................................[2],  Newton's law??of universal??gravitation??states that every particle attracts every other particle in the universe with a force which is directly proportional to the product of their masses and inversely proportional to the square of the distance between their centers.,force proportional to product of masses force inversely proportional to square of separation B1 B1 [2],"(292, 'a.i')"
912,"Newton's law of gravitation applies to point masses.  Explain why, although the planets and the Sun are not point masses, the law also applies to planets orbiting the Sun. ..............................................................................[1]",  The distance separating them is much greater than the radius of the sun/planet,separation much greater than radius / diameter of Sun / planet B1 [1],"(292, 'a.ii')"
913,"Gravitational fields and electric fields show certain similarities and certain differences. State one aspect of gravitational and electric fields where there is  a similarity, ..............................................................................[1]",  Both potentials are????? 1/r,e.g. force or field strength ??? 1 / r2 potential ??? 1 / r B1 [1],"(292, 'b.i')"
914,Gravitational fields and electric fields show certain similarities and certain differences. State one aspect of gravitational and electric fields where there is  a difference. ..............................................................................[2],  Gravitational forces are always attractive  Electric forces can be attractive or repulsive,e.g. gravitational force (always) attractive electric force attractive or repulsive B1 B1 [2],"(292, 'b.ii')"
915,Define gravitational potential at a point. ............................................................................. [1],The gravitational potential at a point is the work done in moving a unit mass from infinity to that point,work done in bringing unit mass from infinity (to the point) B1 [1],"(293, 'a')"
916,The gravitational potential ?? at distance r from point mass M is given by the expression ?? ?? ?? ?? ?? (DIAGRAM)  where G is the gravitational constant.?? Explain the significance of the negative sign in this expression. .............................................................................. [2],"Gravitational force is an attractive force  When r increases, work is done against the attractive force, giving an object a gain in potential energy. The potential at infinity = 0 by convertion.","gravitational force is (always) attractive either?? as r decreases, object/mass/body does work or?? work is done by masses as they come together B1  B1 [2]","(293, 'b')"
917,"A spherical planet may be assumed to be an isolated point mass with its mass concentrated at its centre. A small mass m is moving near to, and normal to, the surface of the planet. The mass moves away from the planet through a short distance h.  State and explain why the change in gravitational potential energy ??EP of the mass is given by the expression ?? ?? ?? ?? ?? ??EP = mgh where g is the acceleration of free fall. .......................................................................... [4]",We know?????Ep = m????? i.e. mass???? change in potential (by definition)   (DIAGRAM)    (DIAGRAM) ,"either force on mass = mg (where g is the acceleration of free fall /gravitational field strength) g = GM/r2 if r @ h, g is constant ???EP = force ?? distance moved = mgh  B1 B1 B1 M1 A0 [4] or?? ???EP = m????? ?? ?? ??= GMm(1/r1 ? ? 1/r2) = GMm(r2 ? ? r1)/r1r2 ?? ?? ??if r2 ??? r1, then (r2 ? ? r1) = h and r1r2 = r2 ?? ?? ??g = GM/r2 ?? ?? ?????EP = mgh (C1) (B1) (B1) (B1) (A0) ??","(293, 'c')"
918,"The planet in (c) has mass M and diameter 6.8 ?? 103 km. The product GM for this planet is 4.3 ?? 1013 N m2 kg? ?1.  A rock, initially at rest a long distance from the planet, accelerates towards the planet. Assuming that the planet has negligible atmosphere, calculate the speed of the rock as it hits the surface of the planet.  speed = ....................................... m s? ?1 [3]",Loss in GPE = Gain in KE  GMm/r = (1/2)mv2  ??? v2 = 2GM/r = 2???? 4.3???? 1013/3.4???? 106  ??? v = 5.029???? 103 m/s,??mv2 = m????? v2??= 2 ?? GM/r ?? ?? = (2 ?? 4.3 ?? 1013) / (3.4 ?? 106) v = 5.0 ?? 103 ms? ?1 (Use of diameter instead of radius to give v = 3.6 ?? 103 ms? ?1 scores 2 marks)??  C1 C1 A1   [3],"(293, 'd')"
919,State what is meant by a gravitational field. ................................................................................[2],"A gravitational field is a region around a body that has mass, in which another body with mass experiences a force",region of space area / volume where a mass experiences a force B1 B1 [2],"(294, 'a')"
920,"In the Solar System, the planets may be assumed to be in circular orbits about the Sun. Data for the radii of the orbits of the Earth and Jupiter about the Sun are given in Fig. 1.1.  (DIAGRAM)    State Newton's law of gravitation. ...................................................................................[3]",  Newton's law of universal gravitation states that??every particle attracts every other particle in the universe??with a??force which is directly proportional to the product of their masses and inversely proportional to the square of the distance between their??centers.,force proportional to product of two masses force inversely proportional to the square of their separation either?? reference to point masses or separation >> 'size' of masses M1 M1 A1 [3],"(294, 'b.i')"
921,"In the Solar System, the planets may be assumed to be in circular orbits about the Sun. Data for the radii of the orbits of the Earth and Jupiter about the Sun are given in Fig. 1.1.  (DIAGRAM)    Use Newton's law to determine the ratio  (DIAGRAM)   ratio = ................................................. [3]","  Let (gravitational field strength due to the Sun at orbit of Earth) be GE  Let (gravitational field strength due to the Sun at orbit of Jupiter) be GJ  Gravitational field strength (GFS) = GM/r2, M = mass of Sun is contants, G is contants  GFS????? 1/r2, so we can write   (DIAGRAM)   Ratio = 27 : 1",field strength = GM / x2??or field strength ??? 1 / x2 ratio = (7.78 ?? 108)2 / (1.5 ?? 108)2 ?? ?? ?? ?? = 27 C1 C1 A1 [3],"(294, 'b.ii')"
922,The orbital period of the Earth about the Sun is T.  Use ideas about circular motion to show that the mass M of the Sun is given by ?? ?? ?? ?? ??  (DIAGRAM)  where R is the radius of the Earth's orbit about the Sun and G is the gravitational constant. Explain your working. [3]  ,"  Gravitational force provides the centripetal force  So GMm/R2 = mR??2, m = mass of earth,???? = 2? /T  ??? GM/R2 = R(2? /T)2  ??? GM/R2 = R(4? 2/T2)  ??? M = 4? 2R3/GT2",either?? centripetal force = mR??2??and ?? = 2?  / T or?? centripetal force = mv2??/ R and v = 2? R /T gravitational force provides the centripetal force either GMm / R2 = mR??2 or?? GMm / R2 = mv2??/ R M = 4? 2R3 / GT2 (allow working to be given in terms of acceleration)  B1 B1 M1 A0   [3],"(294, 'c.i')"
923,The orbital period of the Earth about the Sun is T.  The orbital period T of the Earth about the Sun is 3.16 ?? 107 s.?? The radius of the Earth's orbit is given in Fig. 1.1.?? Use the expression in (i) to determine the mass of the Sun.  mass = ............................................ kg [2],   (DIAGRAM) ,M = {4? 2 ?? (1.5 ?? 1011)3} / {6.67 ?? 10? ?11 ?? (3.16 ?? 107)2} ?? ?? = 2.0 ?? 1030 kg C1 A1 [2],"(294, 'c.ii')"
924,"On the axes of Fig. 2.1, sketch the variation with distance from a point mass of the gravitational field strength due to the mass.?? [2]  (DIAGRAM) ", (DIAGRAM) ,"smooth curve with decreasing gradient, not starting at x = 0 end of line not at g = 0 or horizontal M1 A1 [2]","(295, 'a')"
925,"On the axes of Fig. 2.2, sketch the variation with speed of the magnitude of the force on a charged particle moving at right-angles to a uniform magnetic field. [2]  (DIAGRAM) "," (DIAGRAM)   Note: Think of F = Bqv, F????? v, so F = kv, y = mx  ",straight line with positive gradient line starts at origin M1 A1 [2],"(295, 'b')"
926,"On the axes of Fig. 2.3, sketch the variation with time of the power dissipated in a resistor by a sinusoidal alternating current during two cycles of the current. [3]  (DIAGRAM) ", (DIAGRAM)   Note:  1. P = I02Rsin2??t  2.Max power = I02R  3.T = period = 1/f,sinusoidal shape only positive values and peak / trough height constant 4 'loops' B1 B1 B1 [3],"(295, 'c')"
927,State Newton's law of gravitation. .............................................................................. [2],Newton's law of universal gravitation states that??every particle attracts every other particle in the universe??with a??force which is directly proportional to the product of their masses and inversely proportional to the square of the distance between their??centers.,(gravitational) force proportional to product of masses and inversely proportional to square of separation reference to either point masses or particles or 'size' much less than separation M1 A1 [2],"(296, 'a')"
928,"The planet Neptune has eight moons (satellites). Each moon orbits Neptune in a circular path of radius r with a period T. Assuming that Neptune and each moon behave as point masses, show that r and T are related by the expression ?? ?? ?? ?? ??  (DIAGRAM)  where G is the gravitational constant and MN is the mass of Neptune. [3]  ", (DIAGRAM)   Let the mass of the moon be m  For this circular orbit the centripetal force is provided by the force of gravitation   (DIAGRAM) ,gravitational force provides/is the centripetal force GMNm/r2 = mr??2 (or mv2 /r) 2? /T (or v = 2? r/T) leading to GMN = 4? 2r3 / T2 B1 M1 A1 [3],"(296, 'b')"
929,Data for the moon Triton that orbits Neptune and for the moon Oberon that orbits the planet Uranus are given in Fig. 1.1.  (DIAGRAM)  Use the expression in (b) to determine the ratio ?? ?? ?? ??  (DIAGRAM)   ratio = ......................................................... [3],N = neptune  u = uranus   (DIAGRAM)   ??? Ratio = 1.18 : 1  Comments:   (DIAGRAM)   2. No need to warry about the 105 part as they will cancell  3. a ratio should be written as a : b,MN / MU = (3.55/ 5.83)3 ?? (13.5/5.9)2?? ?? ??x3??factor correct ?? ??T2??factor correct?? ratio = 1.18?? (allow 1.2)  C1 C1 A1 [3] alternative method: mass of Neptune = 1.019 ?? 1026 k ?? ??mass of Uranus = 8.621 ?? 1025 kg ?? ??ratio = 1.18?? (C1) (C1) (A1),"(296, 'c')"
930,"In a sample of gas at room temperature, five atoms have the following speeds: 1.32??103 m s? ?1 1.50??103 m s? ?1 1.46??103 m s? ?1 1.28??103 m s? ?1 1.64??103 m s? ?1. For these five atoms, calculate, to three significant figures,  the mean speed,       mean speed = ............................................ m s? ?1 [1]  ",v = (1.32 + 1.5 + 1.46 + 1.28 + 1.64)???? 103/5 = 1.44???? 103 m/s  ,mean speed = 1.44 ?? 103 ms? ?1 C1 [1],"(297, 'a')"
931,"In a sample of gas at room temperature, five atoms have the following speeds: 1.32??103 m s? ?1 1.50??103 m s? ?1 1.46??103 m s? ?1 1.28??103 m s? ?1 1.64??103 m s? ?1. For these five atoms, calculate, to three significant figures,  the mean-square speed,        mean-square speed = .............................m2 s? ?2 [2]  ",v2 = (1.322 + 1.52 + 1.462 + 1.282 + 1.642)???? 106/5 = 2.09???? 106 m2/s2  ,evidence of summing of individual squared speeds mean square speed = 2.09 ?? 106m2 s? ?2 C1 A1 [2],"(297, 'b')"
