,Prompt
480,"F₁ and F₂ drawn head-to-tail, but R is incorrectly shown as a straight line from start of F₁ to end of F₂, but with the wrong magnitude/direction."
481,"F₁ and F₂ are parallel and act in the same direction, but R is shown smaller than both."
482,"F₁ and F₂ act in opposite directions, but R is shown perpendicular to both."
483,"Earth with gravitational field lines pointing toward its center. A spaceship approaches, with a force arrow labeled ""gravitational force"" pulling it toward Earth. Inside the spaceship, ""mass"" is highlighted to show inertia resisting motion change."
484,"Shows alpha particles being fired at a thin gold foil. Most particles pass straight through, a few are deflected at large angles, and a very small number bounce straight back."
485,"A simple diagram showing two carbon atoms: one labeled ""Carbon-12: 6 protons, 6 neutrons"" and the other ""Carbon-14: 6 protons, 8 neutrons"". Both are inside a box titled ""Isotopes of Carbon"" to emphasize the same proton count."
486,"Imagine two horizontal plates, one marked '+' on top, one marked '-' below. Straight, vertical arrows point downwards from the '+' plate to the '-' plate, spaced evenly apart"
487,"Simple bar chart showing typical sound speeds: solids ~3000–5000 m/s, liquids ~1500 m/s, gases ~300–1300 m/s."
488,"Simple illustration of particle spacing: tightly packed in solids, moderately spaced in liquids, widely spaced in gases, with sound waves moving fastest in solids."
489,"** A ray of light approaching a glass block. The incident ray in air makes a 46° angle with the normal. Inside the glass, the refracted ray bends toward the normal, making a 26° angle with it. Label angles and normal clearly.**"
490,"A vertical line represents the mirror. An object is shown in front. Arrows from the object hit the mirror and reflect outward. Dashed lines extend backward behind the mirror, meeting at point N."
491,"Two identical objects under a heat lamp—one black, one white. The black object shows more ""incoming"" IR arrows absorbed and more ""outgoing"" IR arrows emitted. The white object shows reflected arrows and fewer emitted arrows."
492,"Imagine a simple Sankey diagram: A wide arrow labelled ""Total Energy Input"" enters the lamp. It splits into two smaller arrows: one labelled ""Useful Light Output"" and a thicker one labelled ""Wasted Heat"". The efficiency is the width of the light arrow divided by the width of the input arrow, multiplied by 100%."
493,A single straight diagonal line from start to finish.
494,"A smooth curve upwards from the origin, becoming steeper, for the entire motion."
495,"A beam of alpha particles aimed at gold foil; most pass through, a few deflect sharply."
496,"A wire shown with reduced diameter and extended length, with arrows indicating increased resistance."
497,Point near origin where curve is steep
498,Curve bending toward the voltage axis as V increases
499,"** Sketch the electromagnetic spectrum as a horizontal line labeled with increasing frequency. Mark visible light at 5.0×10¹⁴ Hz, M far left at 5.0×10⁶ Hz in the radio section, and N just right of visible light at 5.0×10¹⁵ Hz in the UV section.**"
500,"Sketch showing air-glass boundary. Incident ray in air at 30° to the normal. Refracted ray in glass bends TOWARDS the normal, at a smaller angle."
501,"Sketch showing water at 25°C losing energy to ice at 0°C. Arrow labeled ""525 J"" from water to ice, with ice melting into water at 0°C. Caption: ""Energy conservation: Cooling energy → Melting energy""."
502,"A beam divided into black and white sections. Arrows labelled ""IR radiation from Sun"" point down to the beam. More arrows are absorbed by the black section; some arrows bounce off the white section. At night, arrows labelled ""IR radiation to surroundings"" emanate more strongly from the black section than the white section."
503,"A large smoke particle surrounded by many smaller, fast-moving air molecules. Arrows of different sizes and directions show air molecules hitting the smoke particle from all sides."
504,"A simple cross-section of the Earth showing a hot core, a mantle, and a thin crust. An arrow points from the core to the surface, labeled ""Geothermal heat source - radioactive decay & primordial heat"""
505,"Diagram C shows the 3 N force acting horizontally to the right and the 4 N force acting vertically upward. The resultant force X is an arrow starting at the same point as the other forces, pointing diagonally upward/right at an angle, with magnitude 5 N."
506,Nucleus before decay → Nucleus after decay + α-particle moving away
507,"A cardboard packet containing flour. A radiation source is positioned on one side, and a detector on the opposite side. If flour is above the level, it blocks radiation; if below, radiation reaches the detector."
508,"Assume the gate combination is as follows:  
- Inputs P and Q are connected to a NOR gate, with output X.  
- Input Q is also connected separately to a NOT gate, with output Y."
509,"A circuit diagram showing an a.c. supply connected to two diodes arranged in a 'back-to-back' configuration pointing towards a central junction, with the lamp connected between this junction and the other supply terminal."
510,Rays spreading out as if coming from a point behind the object
511,"Sketch showing air-glass boundary. Label incident ray, refracted ray, and normal. Angle x: between incident ray and normal. Angle y: between refracted ray and normal."
512,"A two-part sketch showing a small bubble labeled ""20 cm³, P = 1.25 × 10⁵ Pa"" at depth, and a larger bubble labeled ""25 cm³, P = 1.00 × 10⁵ Pa"" at the surface. Arrows indicate upward motion with ""pressure decreases → volume increases""."
513,"A simple sketch showing an object being pushed by a force arrow labeled ""F"" through a distance ""d"" along a straight line. Caption: ""Work done = F × d when force and motion are in the same direction."""
514,"A circle representing the orbit, Earth at center, satellite on the circle. Arrow D points straight from satellite to Earth's center. Arrows A, B, and C are shown incorrectly: A tangent to the orbit, B radially outward, C at 45° between tangent and outward."
515,"** A speed-time graph with a horizontal line at 40 s. At this point, the slope is flat, indicating zero gradient and zero acceleration."
516,"Comparison table showing properties of α, β, γ radiation. Columns: Type | Identity | Charge | Penetration | Stopped By. For γ: ""EM wave"" | 0 | High | Thick lead"
517,"Scientist holding a radioactive source at one end of long tongs. Arrows labeled ""β-particles"" spread out from the source but fade out before reaching the scientist's hand at the other end of the tongs. A dashed line at 30 cm from the source shows the maximum range."
518,"A gold foil with most α-particles passing through, a few deflected at small angles, and rare large-angle deflections. Arrows show repulsion between the positive nucleus and positive α-particle."
519,"A coil in a magnetic field between N and S poles. At 0°, side A moves ↑, side B moves ↓ → +V. At 180°, side A moves ↓, side B moves ↑ → –V."
520,"A simple sketch showing a person's hand accidentally touching a bare live wire protruding from a wall. Arrows indicate electric current flowing from the wire, through the person's body, and down to the ground/earth. A fuse is shown in the circuit near the supply."
